Number,Extractant,Extractant Name,Phenyl Rings,Upper Rim,Lower Rim,Methylene Bridge,Extracted Name,Extractant Conc,Extracted Conc,Spectator Ions,Chemical Groups,Acid Molarity,Extraction Efficiency
98,4e,,None,None,None,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,85
99,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Li(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,0.7
100,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Na(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,0.5
101,1a,,4,t-butyl,(CH2)2P(PH)2O,None,K(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,0.3
102,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Rb(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,0.5
103,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Cs(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,0.4
104,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Mg(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,0.6
105,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Ca(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,2.6
106,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Sr(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,0.8
107,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Ba(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,0.5
108,1d,,4,H,(CH2)2P(PH)2O,None,Li(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,3.5
109,1d,,4,H,(CH2)2P(PH)2O,None,Na(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,3.7
110,1d,,4,H,(CH2)2P(PH)2O,None,K(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,3.8
111,1d,,4,H,(CH2)2P(PH)2O,None,Rb(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,3.6
112,1d,,4,H,(CH2)2P(PH)2O,None,Cs(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,3.6
113,1d,,4,H,(CH2)2P(PH)2O,None,Mg(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,3
114,1d,,4,H,(CH2)2P(PH)2O,None,Ca(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,5
115,1d,,4,H,(CH2)2P(PH)2O,None,Sr(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,3.3
116,1d,,4,H,(CH2)2P(PH)2O,None,Ba(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,3.1
117,2a,,4,t-butyl,(CH2)P(PH)2O,None,Li(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,7.6
118,2a,,4,t-butyl,(CH2)P(PH)2O,None,Na(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,6
119,2a,,4,t-butyl,(CH2)P(PH)2O,None,K(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,22.3
120,2a,,4,t-butyl,(CH2)P(PH)2O,None,Rb(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,17
121,2a,,4,t-butyl,(CH2)P(PH)2O,None,Cs(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,6.4
122,2a,,4,t-butyl,(CH2)P(PH)2O,None,Mg(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,5.6
123,2a,,4,t-butyl,(CH2)P(PH)2O,None,Ca(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,23
124,2a,,4,t-butyl,(CH2)P(PH)2O,None,Sr(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,9.8
125,2a,,4,t-butyl,(CH2)P(PH)2O,None,Ba(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,8.4
126,2b,,5,t-butyl,(CH2)P(PH)2O,None,Li(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,28.5
127,2b,,5,t-butyl,(CH2)P(PH)2O,None,Na(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,37.9
128,2b,,5,t-butyl,(CH2)P(PH)2O,None,K(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,45
129,2b,,5,t-butyl,(CH2)P(PH)2O,None,Rb(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,50.7
130,2b,,5,t-butyl,(CH2)P(PH)2O,None,Cs(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,56.9
131,2b,,5,t-butyl,(CH2)P(PH)2O,None,Mg(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,18.2
132,2b,,5,t-butyl,(CH2)P(PH)2O,None,Ca(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,62.5
133,2b,,5,t-butyl,(CH2)P(PH)2O,None,Sr(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,52.2
134,2b,,5,t-butyl,(CH2)P(PH)2O,None,Ba(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,62.3
135,3a,,4,t-butyl,(CH2)P(PH)2O,None,Li(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,53.4
136,3a,,4,t-butyl,diethylamido,None,Na(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,65.1
137,3a,,4,t-butyl,diethylamido,None,K(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,42.6
138,3a,,4,t-butyl,diethylamido,None,Rb(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,20
139,3a,,4,t-butyl,diethylamido,None,Cs(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,13
140,3a,,4,t-butyl,diethylamido,None,Mg(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,3.7
141,3a,,4,t-butyl,diethylamido,None,Ca(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,15.8
142,3a,,4,t-butyl,diethylamido,None,Sr(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,15.4
143,3a,,4,t-butyl,diethylamido,None,Ba(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,12.5
144,3b,,4,t-butyl,O-tert butyl,None,Li(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,8.5
145,3b,,4,t-butyl,O-tert butyl,None,Na(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,17.9
146,3b,,4,t-butyl,O-tert butyl,None,K(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,13.7
147,3b,,4,t-butyl,O-tert butyl,None,Rb(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,5.3
148,3b,,4,t-butyl,O-tert butyl,None,Cs(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,5
149,3b,,4,t-butyl,O-tert butyl,None,Mg(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,1.2
150,3b,,4,t-butyl,O-tert butyl,None,Ca(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,1.1
151,3b,,4,t-butyl,O-tert butyl,None,Sr(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,1.4
152,3b,,4,t-butyl,O-tert butyl,None,Ba(I),0.0025,0.0025,"NO3(2-), picrate, H2O",None,1M HNO3,1.4
153,6,,4,t-butyl,(CH2)P(PH)2O,None,La(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,27
154,6,,4,t-butyl,(CH2)P(PH)2O,None,Ce(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,13
155,6,,4,t-butyl,(CH2)P(PH)2O,None,Pr(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,31
156,6,,4,t-butyl,(CH2)P(PH)2O,None,Nd(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,14
157,6,,4,t-butyl,(CH2)P(PH)2O,None,Sm(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,31
158,6,,4,t-butyl,(CH2)P(PH)2O,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,67
159,6,,4,t-butyl,(CH2)P(PH)2O,None,Gd(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,25
160,6,,4,t-butyl,(CH2)P(PH)2O,None,Dy(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,18
161,6,,4,t-butyl,(CH2)P(PH)2O,None,Yb(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,17
162,6,,4,t-butyl,(CH2)P(PH)2O,(CH2)5Cl,La(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,15
163,6,,4,t-butyl,(CH2)P(PH)2O,(CH2)5Cl,Ce(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,12
164,6,,4,t-butyl,(CH2)P(PH)2O,(CH2)5Cl,Pr(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,16
165,6,,4,t-butyl,(CH2)P(PH)2O,(CH2)5Cl,Nd(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,12
166,6,,4,t-butyl,(CH2)P(PH)2O,(CH2)5Cl,Sm(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,25
167,6,,4,t-butyl,(CH2)P(PH)2O,(CH2)5Cl,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,55
168,6,,4,t-butyl,(CH2)P(PH)2O,(CH2)5Cl,Gd(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,20
169,6,,4,t-butyl,(CH2)P(PH)2O,(CH2)5Cl,Dy(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,16
170,6,,4,t-butyl,(CH2)P(PH)2O,(CH2)5Cl,Yb(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,13
171,6,,4,t-butyl,(CH2)P(PH)2O,(CH2)5Cl,Y(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,13
172,1a,,4,t-butyl,H,None,La(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O, C6H8O7, Na2HPO4",Na2HPO4,0.1M C6H8O7 ,42.42
173,1a,,4,t-butyl,H,None,Ce(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO5,0.1M C6H8O8,29.63
174,1a,,4,t-butyl,H,None,Pr(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO6,0.1M C6H8O9,30
175,1a,,4,t-butyl,H,None,Nd(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO7,0.1M C6H8O10,17.86
176,1a,,4,t-butyl,H,None,Sm(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO8,0.1M C6H8O11,0
177,1a,,4,t-butyl,H,None,Eu(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO9,0.1M C6H8O12,0
178,1a,,4,t-butyl,H,None,Gd(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO10,0.1M C6H8O13,2.78
179,1a,,4,t-butyl,H,None,Dy(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO11,0.1M C6H8O14,0
180,1a,,4,t-butyl,H,None,Ho(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO12,0.1M C6H8O15,0
181,1a,,4,t-butyl,H,None,Er(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO13,0.1M C6H8O16,15.58
182,1a,,4,t-butyl,H,None,Yb(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO14,0.1M C6H8O17,0
183,1a,,4,t-butyl,H,None,Lu(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO15,0.1M C6H8O18,0
184,1a,,4,t-butyl,H,None,Y(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO16,0.1M C6H8O19,0
185,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,La(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O, C6H8O7, Na2HPO4",Na2HPO17,0.1M C6H8O20,81.58
186,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Ce(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO18,0.1M C6H8O21,80.56
187,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Pr(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO19,0.1M C6H8O22,70.59
188,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Nd(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO20,0.1M C6H8O23,46.67
189,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Sm(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO21,0.1M C6H8O24,36
190,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Eu(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO22,0.1M C6H8O25,34.29
191,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Gd(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO23,0.1M C6H8O26,5.56
192,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Dy(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO24,0.1M C6H8O27,4.55
193,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Ho(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO25,0.1M C6H8O28,5.88
194,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Er(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO26,0.1M C6H8O29,23.08
195,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Yb(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO27,0.1M C6H8O30,0
196,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Lu(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO28,0.1M C6H8O31,0
197,1b,,4,t-butyl,(CH2)(CO)(OCH2CH3),None,Y(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO29,0.1M C6H8O32,22.22
198,1c,,4,t-butyl,OCH3,None,La(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O, C6H8O7, Na2HPO4",Na2HPO30,0.1M C6H8O33,77.27
199,1c,,4,t-butyl,OCH3,None,Ce(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO31,0.1M C6H8O34,79.17
200,1c,,4,t-butyl,OCH3,None,Pr(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO32,0.1M C6H8O35,68.75
201,1c,,4,t-butyl,OCH3,None,Nd(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO33,0.1M C6H8O36,44
202,1c,,4,t-butyl,OCH3,None,Sm(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO34,0.1M C6H8O37,48.15
203,1c,,4,t-butyl,OCH3,None,Eu(III),0.001425,0.0000057,"NO3(2-), dichloromethane, H2O",Na2HPO35,0.1M C6H8O38,34.29
